類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,S
臺中市青少年福利服務中心,AC01194,土庫里,臺中市西區土庫里五權三街200號,"24.138152,120.661244",1,430,第一分局,
財政部中區國稅局,AC01253,?龍里,臺中市西區?龍里民生路168號,"24.145233,120.6673",1,8654,第一分局,
臺中英才郵局,AC01126,?龍里,臺中市西區?龍里民生路200號,"24.144642,120.665856",1,532,第一分局,
臺中市調查處,AC01162,?龍里,臺中市西區?龍里英才路525號,"24.146173,120.66594",1,81,第一分局,
台灣電力公司,AC01282,?龍里,臺中市西區?龍里英才路601號,"24.14252,120.665615",1,156,第一分局,
大勇國小,AC00596,吉龍里,臺中市西區吉龍里忠明南路515號,"24.134485,120.657801",1,1005,第一分局,
政府機關,AC01134,?龍里,臺中市西區?龍里民生路411號,"24.144224,120.666473",1,988,第一分局,
政府機關,AC01195,?龍里,臺中市西區?龍里模範街6號,"24.147602,120.666749",1,454,第一分局,
中正國小,AC00249,民龍里,臺中市西區民龍里英才路423號,"24.151886,120.666109",1,2221,第一分局,
臺中市立文化中心,AC01069,安龍里,臺中市西區安龍里英才路600號,"24.141522,120.665695",1,474,第一分局,
內政部營建署中區國宅工程組,AC00458,安龍里,臺中市西區安龍里民生路215號之1,"24.144223,120.668293",1,237,第一分局,
台中教育大學英才校區,AC01273,安龍里,臺中市西區安龍里民生路227號,"24.144224,120.666474",1,4118,第一分局,
國家安全局,AC01235,後龍里,臺中市西區後龍里民權路217巷6號,"24.148012,120.669045",1,578,第一分局,
中華電信,AE01476,中興里,臺中市西區中興里向上路一段110號,"24.146975,120.663676",1,1121,第一分局,
國立台中教育大學招待所－國際會館,AC00300,後龍里,臺中市西區後龍里向上路一段4號,"24.146816,120.669287",1,202,第一分局,
大益公有市場,AE01481,公德里,臺中市西區公德里精誠23街30號,"24.149121,120.656105",1,2720,第一分局,
忠明國小,AE01276,忠誠里,臺中市西區忠誠里臺灣大道二段556號,"24.1578,120.659128",1,1124,第一分局,
中興地政事務所,AE00872,公平里,臺中市西區公平里東興路三段246號,"24.153818,120.653371",1,2766,第一分局,
臺灣企銀台中分行,AD00125,柳川里,臺中市中區柳川里臺灣大道一段400號,"24.143132,120.67897",1,218,第一分局,
三信商業銀行,AD00441,柳川里,臺中市中區柳川里公園路32號之1,"24.145731,120.680716",1,342,第一分局,
銀行,AD00246,中華里,臺中市中區中華里民權路188號,"24.142648,120.674707",1,498,第一分局,
日新戲院,AD00263,中華里,臺中市中區中華里中華路一段62號,"24.143497,120.675452",1,150,第一分局,
兆豐銀行,AD00293,中華里,臺中市中區中華里民權路一段216號,"24.143336,120.674124",1,1604,第一分局,
新光銀行中華分行,AD00196,中華里,臺中市中區中華里中華路一段126號,"24.145302,120.67718",1,448,第一分局,
銀行,AD00197,中華里,臺中市中區中華里臺灣大道一段580號,"24.145399,120.676362",1,121,第一分局,
銀行,AD00198,中華里,臺中市中區中華里臺灣大道一段582號,"24.145429,120.676332",1,56,第一分局,
銀行,AD00334,大墩里,臺中市中區大墩里三民路二段29號,"24.140981,120.677811",1,114,第一分局,
銀行,AD00335,大墩里,臺中市中區大墩里三民路二段11號,"24.140632,120.677432",1,206,第一分局,
萬代福影城,AD00002,大誠里,臺中市中區大誠里公園路38號,"24.146204,120.680229",1,2484,第一分局,
巨人健身院,AD00098,大誠里,臺中市中區大誠里仁愛街8號,"24.142951,120.676032",1,117,第一分局,
銀行,AB00155,繼光里,臺中市中區繼光里成功路116號,"24.14038,120.683603",1,81,第一分局,
莿桐花微旅,AB00168,繼光里,臺中市中區繼光里臺灣大道一段141巷5號,"24.139443,120.682416",1,154,第一分局,
銀行,AB00164,繼光里,臺中市中區繼光里繼光街77號,"24.139169,120.68253",1,18,第一分局,
薇米商旅,AB00540,繼光里,臺中市中區繼光里繼光街166號,"24.140958,120.684872",1,105,第一分局,
銀行,AB00105,繼光里,臺中市中區繼光里繼光街56號,"24.138058,120.68191",1,257,第一分局,
台中背包41青年旅館,AB00106,繼光里,臺中市中區繼光里繼光街59號,"24.138389,120.6818",1,36,第一分局,
銀行,AB00194,繼光里,臺中市中區繼光里中山路69號,"24.138646,120.681946",1,28,第一分局,
台中商銀綜合證券,AB00086,繼光里,臺中市中區繼光里民族路45號,"24.137793,120.681516",1,721,第一分局,
Venus Club,AB00087,繼光里,臺中市中區繼光里繼光街73號,"24.139057,120.682413",1,385,第一分局,
成旅晶贊飯店,AB00083,繼光里,臺中市中區繼光里民權路66號,"24.13753,120.68069",1,1126,第一分局,
農業金庫,AB00088,繼光里,臺中市中區繼光里民族路47號,"24.137948,120.681276",1,322,第一分局,
郵局,AB00145,繼光里,臺中市中區繼光里公園路2之11號,"24.141876,120.685027",1,5441,第一分局,
臺中民權路郵局,AB00297,公園里,臺中市中區公園里民權路86號,"24.138973,120.679027",1,2284,第一分局,
合作金庫,AB00095,公園里,臺中市中區公園里自由路二段2號,"24.13786,120.680414",1,516,第一分局,
中國信託銀行,AB00101,公園里,臺中市中區公園里民族路50號,"24.138366,120.681239",1,740,第一分局,
彰化銀行,AB00097,公園里,臺中市中區公園里自由路二段38號,"24.139564,120.68208",1,306,第一分局,
土地銀行,AB00098,公園里,臺中市中區公園里自由路二段1號,"24.138252,120.679901",1,453,第一分局,
銀行,AB00278,公園里,臺中市中區公園里自由路二段63號,"24.139655,120.681517",1,1665,第一分局,
醫院,AB00478,光復里,臺中市中區光復里平等街139號,"24.143118,120.681713",1,126,第一分局,
中華電信,AB00560,光復里,臺中市中區光復里民族路88號,"24.139828,120.679539",1,316,第一分局,
客運站,AB00125,綠川里,臺中市中區綠川里台灣大道1段2號,"24.137449,120.685241",1,41,第一分局,
客運站,AB00007,綠川里,臺中市中區綠川里建國路174號,"24.137457,120.685241",1,444,第一分局,
客運站,AB00030,綠川里,臺中市中區綠川里建國路151號,"24.137975,120.685118",1,384,第一分局,
